tag,count,devs
javascript,49,"http://devbochenek.pl,http://aneta-bielska.github.io,http://blog.kars7e.io,http://tomasz.dudziak.eu,http://krzysztofzawistowski.azurewebsites.net,http://halibuti.blogspot.com,http://skobo.pl,http://it-michal-sitko.blogspot.com,http://blog.simpleshop.pl,http://bodolsog.pl/blog,http://swistak35.com,http://incodable.blogspot.com,http://maque.github.io,http://immora.azurewebsites.net,http://macieklesiczka.github.io,http://www.nowas.pl,https://citygame2016.wordpress.com,http://nikow.pl,https://pablitoblogblog.wordpress.com,http://koderatornia.pl,http://www.brozanski.net,http://codinghabit.pl,http://martanocon.com,http://paweljurczynski.pl,http://krzyskowk.postach.io,http://lukasstankiewicz.github.io,http://jsdn.pl,http://blog.roobina.pl,http://blog.waldemarbira.pl,http://www.sztobar.net,http://www.kamilhawdziejuk.wordpress.com,http://bartoszzaremba.pl,http://marcinkowalczyk.pl/blog,http://www.blog.foodculture.pl,http://blog.buczaj.com,https://gettoknowthebob.wordpress.com,http://lukaszmocarski.com,http://blog.rakaz.pl/category/dt2016,http://www.ionicdsp.eu,http://www.resumees.net/devblog,http://www.cojakodze.pl,http://dziury-w-calym.pl,https://branegblog.wordpress.com,http://maciektalaska.github.io,https://jacek.migdal.pl,http://blog.e-polecanie.pl,http://whitebear.com.pl,http://www.marcinwalas.com,http://cms.forigi.com"
tdd,2,"http://student.agh.edu.pl/~kefas,http://www.marcinwojdak.pl"
elixir,3,"http://blog.kars7e.io,http://dsp.katafrakt.me,http://przemek.ciacka.com/articles.html"
windows 10,3,"http://liveshare.azurewebsites.net,http://www.mikolajdemkow.pl,http://krzyskowk.postach.io"
spark,2,"http://sebcza.pl,http://twitop.azurewebsites.net"
swift,5,"http://www.paweltymura.pl,http://it-michal-sitko.blogspot.com,http://findfriendsswift.blogspot.com,http://mmalczewski.pl,http://itka4yk.blogspot.com"
c,15,"http://blog.chyla.org,http://www.karolpysklo.pl,http://rzeczybezinternetu.blogspot.com,http://lukasz-jankowski.pl,http://metodprojekt.blogspot.com,http://addictedtocreating.pl,http://0x00antdot.blogspot.com,http://blog.bga.pl,http://michal.muskala.eu,http://krzysztofabramowicz.com,http://polak.azurewebsites.net,http://andrzejdubaj.com,http://newstech.pl,http://blog.rakaz.pl/category/dt2016,http://spine.angrybits.pl"
postgresql,2,"http://krystianbrozek.pl,http://przemek.ciacka.com/articles.html"
mono,2,"http://md-techblog.net.pl,http://www.brozanski.net"
elm,2,"http://swistak35.com,http://www.sztobar.net"
rdf,2,"http://t-code.pl,http://alien-mcl.github.io/URSA/posts.html"
elasticsearch,2,"http://mickl.net,http://code-addict.pl"
azure,16,"http://www.feliszewski.eu,http://blog.yellowmoleproductions.pl,http://jakubskoczen.pl,http://liveshare.azurewebsites.net,http://kodikable.pl,https://duszekmestre.wordpress.com,http://koscielski.ninja,http://maciejskuratowski.com,http://www.pgrzesiek.pl,http://damiankedzior.com,https://koniecznuda.wordpress.com,http://www.kamilhawdziejuk.wordpress.com,http://marcinkowalczyk.pl/blog,http://www.programuje.net,http://blog.rakaz.pl/category/dt2016,http://podziemiazamkul.blogspot.com"
ionic,6,"http://lion.net.pl/blog,http://codinghabit.pl,http://paweljurczynski.pl,http://krzyskowk.postach.io,http://tsovek.blogspot.com,http://www.ionicdsp.eu"
sqlite,2,"http://krystianbrozek.pl,http://codestorm.pl"
haskell,2,"http://swistak35.com,http://michal.muskala.eu"
linux,2,"http://pyrzyk.net,http://wezewkodzie.blogspot.com"
angular,36,"http://codingpersona.com,http://www.adambac.com,http://tomasz.dudziak.eu,http://jakubskoczen.pl,http://koscielniak.me,http://kduszynski.pl,http://sebcza.pl,http://szumiato.pl,http://www.crynkowski.pl,http://lion.net.pl/blog,http://cezary.mcwronka.com.hostingasp.pl,http://maciejskuratowski.com,http://blog.napierala.org.pl,https://barloblog.wordpress.com,http://codinghabit.pl,http://damiankedzior.com,http://www.blog.exmoor.pl,https://koniecznuda.wordpress.com,https://krzysztofmorcinek.wordpress.com,http://www.arturnet.pl,http://epascales.blogspot.com,http://www.kamilhawdziejuk.wordpress.com,http://paweldobrzanski.pl/blog,http://bartoszzaremba.pl,http://marcinkowalczyk.pl/blog,http://www.webatelier.io,http://dev30.pl,http://alien-mcl.github.io/URSA/posts.html,http://tsovek.blogspot.com,http://blog.buczaj.com,http://lukaszmocarski.com,http://www.ionicdsp.eu,http://kazaarblog.blogspot.com,http://blog.yotkaz.me,http://sweetprogramming.com,http://code-addict.pl"
vulkan,2,"http://bentkowski.northeurope.cloudapp.azure.com,http://terianil.blogspot.com"
java,38,"https://tomoitblog.wordpress.com,http://namiekko.pl,http://dyzur.blogspot.com,http://blog.lantkowiak.pl,http://oxbow.pl,http://bodolsog.pl/blog,http://bodolsog.pl/blog,http://michalgellert.blogspot.com,http://mbork.pl,http://sprobujzmiany.blogspot.com,http://chmielowski.net,http://nicholaszyl.net,http://addictedtocreating.pl,http://www.namekdev.net/topics/dailies/the-console,http://blog.bga.pl,https://citygame2016.wordpress.com,http://twitop.azurewebsites.net,http://ggajos.com,https://werpuc.wordpress.com,http://cad.bane.pl,http://charyzmatyczny-programista.blogspot.com,https://odzeradokoderablog.wordpress.com,http://msaldak.pl,http://paweldobrzanski.pl/blog,http://marcinkowalczyk.pl/blog,http://www.jagielski.net,http://coder-log.blogspot.com,http://andrzejdubaj.com,http://www.agatamroz.com.pl,https://blog.luzid.co/concerto,http://tomaszsokol.pl,http://www.marcinklimek.pl/blog,http://improsoft.blogspot.com,http://codiferent.pl,http://blog.yotkaz.me,http://jakubdziworski.github.io,https://jendaapkatygodniowo.wordpress.com,http://code-addict.pl"
esp8266,3,"http://tomasz.dudziak.eu,http://select-iot.pl,https://gettoknowthebob.wordpress.com"
opengl,4,"http://czekanski.info,http://bentkowski.northeurope.cloudapp.azure.com,http://mariuszbartosik.com,http://krzysztofabramowicz.com"
play framework,2,"https://blog.luzid.co/concerto,http://sweetprogramming.com"
asp.net mvc,43,"http://doriansobacki.pl,http://blog.gonek.net,http://www.dedlajn.pl,http://tomaszkorecki.com,http://www.marcinszyszka.pl,http://jakubskoczen.pl,https://devblog.dymel.pl,http://koscielniak.me,http://jaroslawstadnicki.pl,http://localwire.pl,http://sebcza.pl,http://tomaszjarzynski.pl,http://hryniewski.net,http://www.mikolajdemkow.pl,http://www.crynkowski.pl,http://cezary.mcwronka.com.hostingasp.pl,http://maciejskuratowski.com,http://immora.azurewebsites.net,https://barloblog.wordpress.com,http://fogielpiotr.blogspot.com,http://ppkozlowski.pl/blog,https://pablitoblogblog.wordpress.com,http://mcupial.pl,http://www.pgrzesiek.pl,http://czesio-w-it.2ap.pl,http://www.marcinwojdak.pl,https://koniecznuda.wordpress.com,http://www.arturnet.pl,http://justmypassions.pl,http://blog.kurpio.com,http://dragonet-therrax.blog.pl,http://aragornziel.blogspot.com,http://www.winiar.pl/blog,http://foreverframe.pl,http://plotzwi.com,https://netgwg.wordpress.com,http://dev30.pl,http://tsovek.blogspot.com,http://lukaszmocarski.com,http://kazaarblog.blogspot.com,http://www.langusblog.pl,http://mzieba.com,http://blog.stanaszek.pl"
aurelia,3,"http://jakubfalenczyk.com,http://foreverframe.pl,http://mickl.net"
godot engine,1,https://onehundredoneblog.wordpress.com
