date,id,source,type
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-10,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-11,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-12,0,rgonek,proj
2016-04-13,0,rgonek,proj
2016-04-13,0,rgonek,proj
2016-04-13,0,rgonek,proj
2016-04-13,0,rgonek,proj
2016-04-13,0,rgonek,proj
2016-04-15,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-16,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-17,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-18,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-04-19,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-22,0,rgonek,proj
2016-03-22,0,rgonek,proj
2016-03-22,0,rgonek,proj
2016-03-22,0,rgonek,proj
2016-03-22,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-24,0,rgonek,proj
2016-03-25,0,rgonek,proj
2016-03-25,0,rgonek,proj
2016-03-26,0,rgonek,proj
2016-03-26,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-27,0,rgonek,proj
2016-03-30,0,rgonek,proj
2016-03-30,0,rgonek,proj
2016-03-30,0,rgonek,proj
2016-03-31,0,rgonek,proj
2016-03-31,0,rgonek,proj
2016-03-31,0,rgonek,proj
2016-03-31,0,rgonek,proj
2016-03-31,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-02,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-03,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-04,0,rgonek,proj
2016-04-05,0,rgonek,proj
2016-04-05,0,rgonek,proj
2016-04-05,0,rgonek,proj
2016-04-05,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-06,0,rgonek,proj
2016-04-07,0,rgonek,proj
2016-04-07,0,rgonek,proj
2016-03-01,0,rgonek,proj
2016-03-01,0,rgonek,proj
2016-03-02,0,rgonek,proj
2016-03-02,0,rgonek,proj
2016-03-03,0,rgonek,proj
2016-03-03,0,rgonek,proj
2016-03-04,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-06,0,rgonek,proj
2016-03-07,0,rgonek,proj
